AccountNumber,AWS Tenant,ConsolidatedPolicies,AWSIAMRoleNameNew
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_wscdownload,ReadOnlyAccessDCO_MaconomyEnterpriseFiles_S3,DCO_SecretsManager_MacEnt",ADFS-FP-cld-mgt-product-glbl
363912313913,dcoflexplus,"DCO_S3_wscdownload,ReadOnlyAccess,DCO_MaconomyEnterpriseFiles_S3",ADFS-FP-cld-mgt-sre-app
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_GetObject_Altus",ADFS-FP-cld-mgt-sre-vp-aj
363912313913,dcoflexplus,"Flexplus_s3backup,DCO_SystemAdmin,ReadOnlyAccess,DCO_SystemsManagerPolicy",ADFS-FP-cld-mgt-tools
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_GetObject_Altus",ADFS-FP-cld-mgt-vp-aj
363912313913,dcoflexplus,"ReadOnlyAccess,DCO_S3_wscdownload,ReadOnlyAccessDCO_MaconomyEnterpriseFiles_S3",ADFS-FP-cld-sre-mac
364370348307,GlobalOSS,DCO_DBA_Delivery,ADFS-glblOSS-cld-del-db
364370348307,GlobalOSS,S3BucketAccess_VTDelivery,ADFS-glblOSS-cld-del-vp-aj
364370348307,GlobalOSS,"DCO_Infrastructure_SRE,AmazonEC2FullAccess",ADFS-glblOSS-cld-leads-sre-vp-aj
364370348307,GlobalOSS,"S3BucketAccess_VTDelivery,RWAcess_com.deltek.automation.global-oss,RWAcess_com.deltek.automation.global-ossS3BucketAccess_VTDelivery",ADFS-glblOSS-cld-mgt-vp-aj
364370348307,GlobalOSS,"SecretsManagerAccess,SecretsManagerAccessReadOnlyAccess",ADFS-glblOSS-cld-sec-eng
364370348307,GlobalOSS,"SecretsManagerAccess,SecretsManagerAccess,ReadOnlyAccess",ADFS-glblOSS-cld-sec-eng-mgt
645778329923,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-del-govwin
645778329923,GovWin,"ResourceAccessManager,DCO_TrustedAdvisor,DCO_InfrastractureDelivery,DCO_CloudTrail_Config_Full",ADFS-GovWin-cld-del-infra
645778329923,GovWin,"ResourceAccessManager,DCO_TrustedAdvisor,DCO_InfrastractureDelivery,DCO_CloudTrail_Config_Full",ADFS-GovWin-cld-del-network
645778329923,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuildSmartFit,DCO_EC2_Start_Stop_Instances,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-del-smb-us
645778329923,GovWin,"ReadOnlyAccess,ReadOnlyAccessGovwin_Cloudformation_Admin,DCO_Govwin_Admin,DCO_Govwin_AdminS3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-mgt-smb-us
645778329923,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,",ADFS-GovWin-cld-mgt-smb-us
656081332388,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,KMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support,AWSCodePipelineFullAccess",ADFS-GovWinDev-cld-del-govwin
656081332388,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,Delete_CloudWatch_Logs,DCO_KMS_EC2,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,AWSCodePipelineFullAccessKMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support,Govwin_Delivery_CloudTrail_CloudWatch_Support,ReadOnlyAccess",ADFS-GovWinDev-cld-del-smb-us
656081332388,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,DCO_KMS_EC2,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,KMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support",ADFS-GovWinDev-cld-del-smb-us
656081332388,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,Delete_CloudWatch_Logs,DCO_KMS_EC2,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,AWSCodePipelineFullAccessReadOnlyAccess",ADFS-GovWinDev-cld-mgt-smb-us
656081332388,GovWinDev,DCO_Infrastructure_SRE,ADFS-GovWinDev-cld-sre-infra
838221089058,OnviaInc,"IAMFullAccess,ReadOnlyAccess",ADFS-OnviaInc-cld-sre-infra
28306514199,SC-Cloud-Arch-Sandbox,"CloudTrail_RW,DCO_Infrastructure_Delivery",ADFS-SC-cld-Arch-sbx-cld-del-infra
28306514199,SC-Cloud-Arch-Sandbox,DCO_Infrastructure_SRE,ADFS-SC-cld-Arch-sbx-cld-sre-infra
320987375699,SC-DHTMLX,"ListACM,ListACMebs-admin,ListACMebs-adminDGC_Infrastructure_Delivery,DGC_Infrastructure_Delivery",ADFS-SC-DHTMLX-cld-del-network
320987375699,SC-DHTMLX,DGC_Infrastructure_SRE,ADFS-SC-DHTMLX-cld-sre-infra
620177452282,SC-SSEC,DGC_Infrastructure_Delivery,ADFS-SC-SSEC-cld-del-infra
620177452282,SC-SSEC,DGC_Infrastructure_Delivery,ADFS-SC-SSEC-cld-del-network
968610568229,Unionpoint,DCO_Infrastructure_Delivery,ADFS-up-cld-del-infra
968610568229,Unionpoint,"DCO_Infrastructure_Delivery,DCO_SecretsManagerReadWrite",ADFS-up-cld-del-network
968610568229,Unionpoint,"DCO_Infrastructure_Delivery,DCO_SecretsManagerReadWrite",ADFS-up-cld-del-tools
